Date received,Product,Sub-product,Issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Count
6/30/15,Student loan,Non-federal student loan,Can't repay my loan,,Company chooses not to provide a public response,Student Assistance Foundation,CA,91780,Phone,7/1/15,Closed with explanation,Yes,,1445923,1
6/23/15,Student loan,Non-federal student loan,Can't repay my loan,,,"Second Alliance, Inc.",CA,92513,Web,6/29/15,Closed with explanation,Yes,,1433350,1
6/22/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,PA,152XX,Web,6/22/15,Closed with explanation,Yes,,1432575,1
6/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,CA,923XX,Web,6/20/15,Closed with explanation,Yes,Yes,1428725,1
6/20/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,LA,712XX,Web,6/20/15,Closed with explanation,Yes,,1428734,1
6/20/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes it acted appropriately as authorized by contract or law,Sallie Mae,FL,337XX,Web,6/20/15,Closed with explanation,Yes,,1428793,1
6/18/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,CA,956XX,Web,6/18/15,Closed with explanation,Yes,,1427597,1
6/17/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes it acted appropriately as authorized by contract or law,Sallie Mae,AZ,85051,Referral,6/19/15,Closed with explanation,Yes,,1425891,1
6/17/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,First Associates Loan Servicing LLC,FL,328XX,Web,6/19/15,Closed with explanation,Yes,,1425290,1
6/16/15,Student loan,Non-federal student loan,Can't repay my loan,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,IN,46405,Web,6/17/15,Closed with explanation,Yes,,1424904,1
6/16/15,Student loan,Non-federal student loan,Can't repay my loan,,,MEFA,NH,3038,Web,6/18/15,Closed with explanation,Yes,,1423399,1
6/16/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,OH,440XX,Web,6/16/15,Closed with explanation,Yes,,1423229,1
6/16/15,Student loan,Non-federal student loan,Can't repay my loan,,,Navient,MD,20772,Web,6/16/15,Closed with explanation,Yes,,1424744,1
