"Datereceived","Credit_card","Mortgage","Bank_acor_service","Consumer_loan","Credit_reporting","Student_loan","Debt_collection","Money_transfers","Payday_loan","Prepaid_card","Other_financial_service"
2011-12-01,100,36,0,0,0,0,0,0,0,0,0
2011-12-02,102,28,0,0,0,0,0,0,0,0,0
2011-12-03,19,6,0,0,0,0,0,0,0,0,0
2011-12-04,19,6,0,0,0,0,0,0,0,0,0
2011-12-05,152,31,0,0,0,0,0,0,0,0,0
2011-12-06,101,49,0,0,0,0,0,0,0,0,0
2011-12-07,72,37,0,0,0,0,0,0,0,0,0
2011-12-08,38,121,0,0,0,0,0,0,0,0,0
2011-12-09,26,40,0,0,0,0,0,0,0,0,0
2011-12-10,30,15,0,0,0,0,0,0,0,0,0
2011-12-11,10,49,0,0,0,0,0,0,0,0,0
2011-12-12,61,115,0,0,0,0,0,0,0,0,0
2011-12-13,40,81,0,0,0,0,0,0,0,0,0
2011-12-14,30,58,0,0,0,0,0,0,0,0,0
2011-12-15,19,50,0,0,0,0,0,0,0,0,0
2011-12-16,28,68,0,0,0,0,0,0,0,0,0
2011-12-17,9,15,0,0,0,0,0,0,0,0,0
2011-12-18,10,12,0,0,0,0,0,0,0,0,0
2011-12-19,56,48,0,0,0,0,0,0,0,0,0
2011-12-20,44,69,0,0,0,0,0,0,0,0,0
2011-12-21,40,70,0,0,0,0,0,0,0,0,0
2011-12-22,36,56,0,0,0,0,0,0,0,0,0
2011-12-23,23,27,0,0,0,0,0,0,0,0,0
2011-12-24,7,4,0,0,0,0,0,0,0,0,0
2011-12-25,6,3,0,0,0,0,0,0,0,0,0
2011-12-26,15,12,0,0,0,0,0,0,0,0,0
2011-12-27,45,43,0,0,0,0,0,0,0,0,0
2011-12-28,35,44,0,0,0,0,0,0,0,0,0
2011-12-29,39,41,0,0,0,0,0,0,0,0,0
2011-12-30,48,35,0,0,0,0,0,0,0,0,0
2011-12-31,7,20,0,0,0,0,0,0,0,0,0
2012-01-01,2,7,0,0,0,0,0,0,0,0,0
2012-01-02,14,17,0,0,0,0,0,0,0,0,0
2012-01-03,46,62,0,0,0,0,0,0,0,0,0
2012-01-04,45,71,0,0,0,0,0,0,0,0,0
2012-01-05,82,108,0,0,0,0,0,0,0,0,0
2012-01-06,52,138,0,0,0,0,0,0,0,0,0
2012-01-07,22,35,0,0,0,0,0,0,0,0,0
2012-01-08,15,33,0,0,0,0,0,0,0,0,0
2012-01-09,69,96,0,0,0,0,0,0,0,0,0
2012-01-10,47,85,0,0,0,0,0,0,0,0,0
2012-01-11,47,97,0,0,0,0,0,0,0,0,0
2012-01-12,34,86,0,0,0,0,0,0,0,0,0
2012-01-13,43,76,0,0,0,0,0,0,0,0,0
2012-01-14,15,26,0,0,0,0,0,0,0,0,0
2012-01-15,17,11,0,0,0,0,0,0,0,0,0
2012-01-16,31,38,0,0,0,0,0,0,0,0,0
2012-01-17,47,88,0,0,0,0,0,0,0,0,0
2012-01-18,45,105,0,0,0,0,0,0,0,0,0
2012-01-19,37,71,0,0,0,0,0,0,0,0,0
2012-01-20,33,53,0,0,0,0,0,0,0,0,0
2012-01-21,10,25,0,0,0,0,0,0,0,0,0
2012-01-22,24,26,0,0,0,0,0,0,0,0,0
2012-01-23,42,64,0,0,0,0,0,0,0,0,0
2012-01-24,48,120,0,0,0,0,0,0,0,0,0
2012-01-25,77,118,0,0,0,0,0,0,0,0,0
2012-01-26,66,121,0,0,0,0,0,0,0,0,0
2012-01-27,39,79,0,0,0,0,0,0,0,0,0
2012-01-28,9,18,0,0,0,0,0,0,0,0,0
2012-01-29,10,24,0,0,0,0,0,0,0,0,0
2012-01-30,61,96,0,0,0,0,0,0,0,0,0
2012-01-31,45,98,0,0,0,0,0,0,0,0,0
2012-02-01,47,110,0,0,0,0,0,0,0,0,0
2012-02-02,61,98,0,0,0,0,0,0,0,0,0
2012-02-03,48,95,0,0,0,0,0,0,0,0,0
2012-02-04,12,21,0,0,0,0,0,0,0,0,0
2012-02-05,14,16,0,0,0,0,0,0,0,0,0
2012-02-06,42,91,0,0,0,0,0,0,0,0,0
2012-02-07,71,110,0,0,0,0,0,0,0,0,0
2012-02-08,60,100,0,0,0,0,0,0,0,0,0
2012-02-09,58,124,0,0,0,0,0,0,0,0,0
2012-02-10,57,77,0,0,0,0,0,0,0,0,0
2012-02-11,16,25,0,0,0,0,0,0,0,0,0
2012-02-12,16,23,0,0,0,0,0,0,0,0,0
2012-02-13,50,114,0,0,0,0,0,0,0,0,0
2012-02-14,35,84,0,0,0,0,0,0,0,0,0
2012-02-15,53,105,0,0,0,0,0,0,0,0,0
2012-02-16,52,122,0,0,0,0,0,0,0,0,0
2012-02-17,67,130,0,0,0,0,0,0,0,0,0
2012-02-18,19,20,0,0,0,0,0,0,0,0,0
2012-02-19,9,18,0,0,0,0,0,0,0,0,0
2012-02-20,16,37,0,0,0,0,0,0,0,0,0
2012-02-21,45,106,0,0,0,0,0,0,0,0,0
