"date","count"
2011-12-01,136
2011-12-02,130
2011-12-03,25
2011-12-04,25
2011-12-05,183
2011-12-06,150
2011-12-07,109
2011-12-08,159
2011-12-09,66
2011-12-10,45
2011-12-11,59
2011-12-12,176
2011-12-13,121
2011-12-14,88
2011-12-15,69
2011-12-16,96
2011-12-17,24
2011-12-18,22
2011-12-19,104
2011-12-20,113
2011-12-21,110
2011-12-22,92
2011-12-23,50
2011-12-24,11
2011-12-25,9
2011-12-26,27
2011-12-27,88
2011-12-28,79
2011-12-29,80
2011-12-30,83
2011-12-31,27
2012-01-01,9
2012-01-02,31
2012-01-03,108
2012-01-04,116
2012-01-05,190
2012-01-06,190
2012-01-07,57
2012-01-08,48
2012-01-09,165
2012-01-10,132
2012-01-11,144
2012-01-12,120
2012-01-13,119
2012-01-14,41
2012-01-15,28
2012-01-16,69
2012-01-17,135
2012-01-18,150
2012-01-19,108
2012-01-20,86
2012-01-21,35
2012-01-22,50
2012-01-23,106
2012-01-24,168
2012-01-25,195
2012-01-26,187
2012-01-27,118
2012-01-28,27
2012-01-29,34
2012-01-30,157
2012-01-31,143
2012-02-01,157
2012-02-02,159
2012-02-03,143
2012-02-04,33
2012-02-05,30
2012-02-06,133
2012-02-07,181
2012-02-08,160
2012-02-09,182
2012-02-10,134
2012-02-11,41
2012-02-12,39
2012-02-13,164
2012-02-14,119
2012-02-15,158
2012-02-16,174
2012-02-17,197
2012-02-18,39
2012-02-19,27
2012-02-20,53
2012-02-21,151
2012-02-22,174
2012-02-23,171
2012-02-24,141
2012-02-25,39
2012-02-26,33
2012-02-27,145
2012-02-28,181
2012-02-29,149
2012-03-01,243
2012-03-02,185
2012-03-03,41
2012-03-04,91
2012-03-05,394
2012-03-06,349
2012-03-07,382
2012-03-08,240
2012-03-09,205
2012-03-10,101
2012-03-11,143
2012-03-12,288
2012-03-13,232
2012-03-14,292
2012-03-15,272
2012-03-16,142
2012-03-17,36
2012-03-18,33
2012-03-19,200
2012-03-20,215
2012-03-21,241
2012-03-22,275
2012-03-23,162
2012-03-24,43
2012-03-25,106
2012-03-26,348
2012-03-27,307
2012-03-28,254
2012-03-29,239
2012-03-30,153
2012-03-31,35
2012-04-01,43
2012-04-02,307
2012-04-03,231
2012-04-04,253
2012-04-05,243
2012-04-06,139
2012-04-07,35
2012-04-08,23
2012-04-09,320
2012-04-10,291
2012-04-11,340
2012-04-12,289
2012-04-13,202
2012-04-14,43
2012-04-15,28
2012-04-16,317
2012-04-17,239
2012-04-18,242
2012-04-19,305
2012-04-20,185
2012-04-21,49
2012-04-22,37
2012-04-23,229
2012-04-24,232
2012-04-25,293
2012-04-26,228
2012-04-27,235
2012-04-28,33
2012-04-29,65
2012-04-30,249
2012-05-01,220
2012-05-02,281
2012-05-03,306
2012-05-04,148
2012-05-05,103
2012-05-06,32
2012-05-07,253
2012-05-08,276
2012-05-09,246
2012-05-10,252
2012-05-11,208
2012-05-12,23
2012-05-13,18
2012-05-14,368
2012-05-15,628
2012-05-16,359
2012-05-17,514
2012-05-18,419
2012-05-19,305
2012-05-20,324
2012-05-21,397
2012-05-22,199
2012-05-23,177
2012-05-24,233
2012-05-25,124
2012-05-26,34
2012-05-27,11
2012-05-28,32
2012-05-29,278
2012-05-30,353
2012-05-31,506
2012-06-01,413
2012-06-02,167
2012-06-03,37
2012-06-04,566
2012-06-05,488
2012-06-06,444
2012-06-07,348
2012-06-08,338
2012-06-09,41
2012-06-10,37
2012-06-11,300
2012-06-12,223
2012-06-13,402
2012-06-14,339
2012-06-15,449
2012-06-16,32
2012-06-17,42
2012-06-18,305
2012-06-19,540
2012-06-20,353
2012-06-21,356
2012-06-22,218
2012-06-23,60
2012-06-24,36
2012-06-25,250
2012-06-26,299
2012-06-27,272
2012-06-28,259
2012-06-29,210
2012-06-30,35
2012-07-01,38
2012-07-02,217
2012-07-03,259
2012-07-04,30
2012-07-05,308
2012-07-06,256
2012-07-07,39
2012-07-08,45
2012-07-09,354
2012-07-10,345
2012-07-11,310
2012-07-12,284
2012-07-13,223
2012-07-14,40
2012-07-15,47
2012-07-16,298
2012-07-17,382
2012-07-18,372
2012-07-19,247
2012-07-20,286
2012-07-21,62
2012-07-22,58
2012-07-23,437
2012-07-24,288
2012-07-25,249
2012-07-26,347
2012-07-27,198
2012-07-28,40
2012-07-29,42
2012-07-30,277
2012-07-31,409
2012-08-01,300
2012-08-02,337
2012-08-03,289
2012-08-04,36
2012-08-05,33
2012-08-06,312
2012-08-07,431
2012-08-08,298
2012-08-09,260
2012-08-10,303
2012-08-11,48
2012-08-12,41
2012-08-13,273
2012-08-14,311
2012-08-15,292
2012-08-16,274
2012-08-17,195
2012-08-18,43
2012-08-19,35
2012-08-20,290
2012-08-21,296
2012-08-22,230
2012-08-23,299
2012-08-24,245
2012-08-25,62
2012-08-26,38
2012-08-27,277
2012-08-28,265
2012-08-29,343
2012-08-30,247
2012-08-31,177
2012-09-01,30
2012-09-02,22
2012-09-03,31
